Date,Open,High,Low,Close
31-Dec-15,7898,7956,7891,7946.35
1-Jan-16,7938,7973,7910,7963.2
4-Jan-16,7925,7938,7781,7791.3
5-Jan-16,7828,7831,7763,7784.65
6-Jan-16,7788,7801,7721,7741
7-Jan-16,7673,7675,7557,7568.3
8-Jan-16,7612,7634,7581,7601.35
11-Jan-16,7527,7605,7494,7563.85
12-Jan-16,7587,7588,7488,7510.3
13-Jan-16,7558,7591,7426,7562.4
14-Jan-16,7467,7605,7444,7536.8
15-Jan-16,7562,7567,7427,7437.8
18-Jan-16,7420,7464,7336,7351
19-Jan-16,7382,7463,7364,7435.1
20-Jan-16,7357,7471,7242,7309.3
21-Jan-16,7377,7399,7250,7276.8
22-Jan-16,7356,7433,7328,7422.45
25-Jan-16,7469,7487,7421,7436.15
27-Jan-16,7470,7478,7420,7437.75
28-Jan-16,7427,7469,7410,7424.65
29-Jan-16,7413,7576,7403,7563.55
1-Feb-16,7590,7600,7541,7555.95
2-Feb-16,7567,7576,7428,7455.55
3-Feb-16,7392,7419,7350,7361.8
4-Feb-16,7411,7457,7366,7404
5-Feb-16,7418,7503,7407,7489.1
8-Feb-16,7490,7513,7363,7387.25
9-Feb-16,7304,7323,7275,7298.2
10-Feb-16,7264,7272,7178,7215.7
11-Feb-16,7204,7209,6960,6976.35
12-Feb-16,7024,7035,6869,6980.95
15-Feb-16,7057,7183,7057,7162.95
16-Feb-16,7201,7205,7038,7048.25
17-Feb-16,7059,7124,6961,7108.45
18-Feb-16,7177,7215,7128,7191.75
19-Feb-16,7171,7227,7146,7210.75
22-Feb-16,7209,7252,7201,7234.55
23-Feb-16,7240,7242,7091,7109.55
24-Feb-16,7075,7091,7010,7018.7
25-Feb-16,7030,7034,6961,6970.6
26-Feb-16,7039,7053,6985,7029.75
29-Feb-16,7050,7095,6826,6987.05
1-Mar-16,7038,7236,7035,7222.3
2-Mar-16,7322,7380,7308,7368.85
3-Mar-16,7430,7484,7406,7475.6
4-Mar-16,7505,7506,7444,7485.35
8-Mar-16,7486,7527,7442,7485.3
9-Mar-16,7436,7539,7424,7531.8
10-Mar-16,7545,7547,7447,7486.15
11-Mar-16,7485,7544,7461,7510.2
14-Mar-16,7543,7584,7515,7538.75
15-Mar-16,7536,7545,7453,7460.6
16-Mar-16,7457,7508,7405,7498.75
17-Mar-16,7557,7585,7479,7512.55
